agency,name,department,homepage
AMS,Agricultural Marketing Service,USDA,https://www.ams.usda.gov/
APHIS,Animal and Plant Health Inspection Service,USDA,https://www.aphis.usda.gov/
ARS,Agricultural Research Service,USDA,https://www.ars.usda.gov/
CNPP,Center for Nutrition Policy and Promotion,USDA,https://www.cnpp.usda.gov/
ERS,Economic Research Service,USDA,https://www.ers.usda.gov/
FAS,Foreign Agricultural Service,USDA,https://www.fas.usda.gov/
FNS,Food and Nutrition Service,USDA,https://www.fns.usda.gov/
FS,Forest Service,USDA,https://www.fs.usda.gov/
FSA,Farm Service Agency,USDA,https://www.fsa.usda.gov/
FSIS,Food Safety and Inspection Service,USDA,https://www.fsis.usda.gov/
NASS,National Agricultural Statistics Service,USDA,https://www.nass.usda.gov/
NIFA,National Institute of Food and Agriculture,USDA,https://nifa.usda.gov/
NRCS,Natural Resources Conservation Service,USDA,https://www.nrcs.usda.gov/
RBS,Rural Business-Cooperative Service,USDA,https://www.rd.usda.gov/
RHS,Rural Housing Service,USDA,https://www.rd.usda.gov/
RMA,Risk Management Agency,USDA,https://www.rma.usda.gov/
RUS,Rural Utilities Service,USDA,https://www.rd.usda.gov/
BEA,Bureau of Economic Analysis,DOC,https://www.bea.gov/
BIS,Bureau of Industry and Security,DOC,https://www.bis.doc.gov/
EDA,Economic Development Administration,DOC,https://www.eda.gov/
ESA,Economics and Statistics Administration,DOC,https://www.esa.doc.gov/
ITA,International Trade Administration,DOC,https://www.trade.gov/
MBDA,Minority Business Development Agency,DOC,https://www.mbda.gov/
NESDIS,"National Environmental Satellite, Data and Information Service",DOC,https://www.nesdis.noaa.gov/
NIST,National Institute of Standards and Technology,DOC,https://www.nist.gov/
NMFS,National Marine Fisheries Service,DOC,https://www.fisheries.noaa.gov/
NOAA,National Oceanic and Atmospheric Administration,DOC,https://www.noaa.gov/
NOS,National Ocean Service,DOC,https://oceanservice.noaa.gov/
NTIA,National Telecommunications and Information Administration,DOC,https://www.ntia.gov/
NTIS,National Technical Information Service,DOC,https://www.ntis.gov/
NWS,National Weather Service,DOC,https://www.weather.gov/
USPTO,U.S. Patent and Trademark Office,DOC,https://www.uspto.gov/
BUMED,Bureau of Medicine and Surgery,DOD,https://www.med.navy.mil/
CNR,Chief of Navy Reserve,DOD,https://www.navyreserve.navy.mil/
DARPA,Defense Advanced Research Projects Agency,DOD,https://www.darpa.mil/
DAU,Defense Acquisition University,DOD,https://www.dau.edu/
DCAA,Defense Contract Audit Agency,DOD,https://www.dcaa.mil/
DCMA,Defense Contract Management Agency,DOD,https://www.dcma.mil/
DeCA,Defense Commissary Agency,DOD,https://www.commissaries.com/
DFAS,Defense Finance and Accounting Service,DOD,https://www.dfas.mil/
DHA,Defense Health Agency,DOD,https://www.health.mil/DHA
DHRA,Defense Human Resources Activity,DOD,https://www.dhra.mil/
DIA,Defense Intelligence Agency,DOD,https://www.dia.mil/
DISA,Defense Information Systems Agency,DOD,https://www.disa.mil/
DLA,Defense Logistics Agency,DOD,https://www.dla.mil/
DLSA,Defense Legal Services Agency,DOD,https://www.usa.gov/agencies/defense-legal-services-agency
