department,name,homepage
DHS,Department of Homeland Security,https://www.dhs.gov/
DOC,Department of Commerce,https://www.commerce.gov/
DOD,Department of Defense,https://www.defense.gov/
DOE,Department of Energy,https://www.energy.gov/
DOI,Department of the Interior,https://www.doi.gov/
DOJ,Department of Justice,https://www.justice.gov/
DOL,Department of Labor,https://www.dol.gov/
DOS,Department of State,https://www.state.gov/
DOT,Department of Transportation,https://www.transportation.gov/
ED,Department of Education,https://www.ed.gov/
HHS,Department of Health and Human Services,https://www.hhs.gov/
HUD,Department of Housing and Urban Development,https://www.hud.gov/
TREAS,Department of the Treasury,https://www.treasury.gov/
USDA,Department of Agriculture,https://www.usda.gov/
VA,Department of Veterans Affairs,https://www.va.gov/
